 Block  Name , Block  Description , Block  Coverage , Block  Backdoor , Block  Component  Name , Block  Instance  Name , Block  Instance  Description , Block  Instance  Dimension , Block  Instance  Type , Block  Instance  Backdoor , Block  Instance  No  Reg  Tests , Block  Instance  No  Reg  Access  Test , Block  Instance  No  Reg  Shared  Access  Test , Block  Instance  No  Reg  Bit  Bash  Test , Block  Instance  No  Reg  HW  Reset  Test , Block  Instance  No  Mem  Tests , Block  Instance  No  Mem  Access  Test , Block  Instance  No  Mem  Shared  Access  Test , Block  Instance  No  Mem  Walk  Test , Project  Extra  Imports 
 ODI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ODI_OLEDBYTE3_0_reg , ODI_OLEDBYTE3_0 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 ODI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ODI_OLEDBYTE7_4_reg , ODI_OLEDBYTE7_4 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 ODI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ODI_OLEDBYTE11_8_reg , ODI_OLEDBYTE11_8 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 ODI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ODI_OLEDBYTE15_12_reg , ODI_OLEDBYTE15_12 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 ODI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ODI_PS_ACCESS_ENA_reg , ODI_PS_ACCESS_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 DTI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , DTI_SPI_FIFO_TX_WRITE_ENABLE_reg , DTI_SPI_FIFO_TX_WRITE_ENABLE ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 DTI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , DTI_SPI_LOOP_ENA_reg , DTI_SPI_LOOP_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 DTI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , DTI_SPI_PS_ACCESS_ENA_reg , DTI_SPI_PS_ACCESS_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 ZU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ZU_DECRYPTION_BYPASS_reg , ZU_DECRYPTION_BYPASS ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 ZU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , ZU_FSM_RST_reg , ZU_FSM_RST ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_ZU_DATA_ENA_reg , SCU_ZU_DATA_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_DTI_READ_ENA_reg , SCU_DTI_READ_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_FSM_RST_reg , SCU_FSM_RST ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_OLEDBYTE3_0_reg , SCU_OLEDBYTE3_0 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_OLEDBYTE7_4_reg , SCU_OLEDBYTE7_4 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_OLEDBYTE11_8_reg , SCU_OLEDBYTE11_8 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_OLEDBYTE15_12_reg , SCU_OLEDBYTE15_12 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_TEMPERATURE_TEST_ENA_reg , SCU_TEMPERATURE_TEST_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_TEMPERATURE_TEST_DIGIT0_reg , SCU_TEMPERATURE_TEST_DIGIT0 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 SCU_module , Block  registers , UVM_CVR_ADDR_MAP ,  , SCU_TEMPERATURE_TEST_DIGIT1_reg , SCU_TEMPERATURE_TEST_DIGIT1 ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 AUI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , AUI_RESET_reg , AUI_RESET ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 AUI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , AUI_AURORA_LOOPBACK_reg , AUI_AURORA_LOOPBACK ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 AUI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , AUI_AURORA_RESET_reg , AUI_AURORA_RESET ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 AUI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , AUI_AURORA_GT_RESET_reg , AUI_AURORA_GT_RESET ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 AUI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , AUI_AURORA_FIFO_TX_WRITE_ENABLE_reg , AUI_AURORA_FIFO_TX_WRITE_ENABLE ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 AUI_module , Block  registers , UVM_CVR_ADDR_MAP ,  , AUI_AURORA_ACCESS_LOOP_ENA_reg , AUI_AURORA_ACCESS_LOOP_ENA ,  ,  , register ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  

 top_PSIF_rw , PSIF  instance ,  ,  , ODI_module , ODI ,  ,  , block ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 top_PSIF_rw , PSIF  instance ,  ,  , DTI_module , DTI ,  ,  , block ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 top_PSIF_rw , PSIF  instance ,  ,  , ZU_module , ZU ,  ,  , block ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 top_PSIF_rw , PSIF  instance ,  ,  , SCU_module , SCU ,  ,  , block ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 top_PSIF_rw , PSIF  instance ,  ,  , AUI_module , AUI ,  ,  , block ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  

 top_PSIF_rw , PSIF  memory ,  ,  , ZUPACKET_mem , ZUPACKET ,  ,  , memory ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 top_PSIF_rw , PSIF  memory ,  ,  , ZUKEY_mem , ZUKEY ,  ,  , memory ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
