 Register  Name , Register  Description , Register  Address , Register  Width , Register  Access , Register  Reset  Value , Register  Constraints , Register  Custom  Type , Field  Name , Field  Description , Field  Offset , Field  Width , Field  Reset  Value , Field  is  Reserved , Field  Access , Field  is  Covered , Field  is  Volatile , Field  Constraints , Field  Backdoor 
 ODI_OLEDBYTE3_0_reg ,  , 0x00000060 , 32 , RW , 0x21202020 ,  ,  , data ,  , 0 , 32 , 0x21202020 ,  , RW , TRUE ,  ,  ,  
 ODI_OLEDBYTE7_4_reg ,  , 0x00000064 , 32 , RW , 0x20212020 ,  ,  , data ,  , 0 , 32 , 0x20212020 ,  , RW , TRUE ,  ,  ,  
 ODI_OLEDBYTE11_8_reg ,  , 0x00000068 , 32 , RW , 0x20202120 ,  ,  , data ,  , 0 , 32 , 0x20202120 ,  , RW , TRUE ,  ,  ,  
 ODI_OLEDBYTE15_12_reg ,  , 0x0000006c , 32 , RW , 0x20202021 ,  ,  , data ,  , 0 , 32 , 0x20202021 ,  , RW , TRUE ,  ,  ,  
 ODI_PS_ACCESS_ENA_reg ,  , 0x00000088 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 DTI_SPI_FIFO_TX_WRITE_ENABLE_reg ,  , 0x00000060 , 1 , RW , 0x1 ,  ,  , data ,  , 0 , 1 , 0x1 ,  , RW , TRUE ,  ,  ,  
 DTI_SPI_LOOP_ENA_reg ,  , 0x00000070 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 DTI_SPI_PS_ACCESS_ENA_reg ,  , 0x00000074 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 ZU_DECRYPTION_BYPASS_reg , Data  packet  NOT  decrypted;  just  passed  through , 0x00000000 , 1 , RW , 0x1 ,  ,  , data ,  , 0 , 1 , 0x1 ,  , RW , TRUE ,  ,  ,  
 ZU_FSM_RST_reg , Reset  ZU  FSM  that  controls  decryption  HLS  IP. , 0x0000000c , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_ZU_DATA_ENA_reg ,  , 0x00000000 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_DTI_READ_ENA_reg ,  , 0x00000004 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_FSM_RST_reg ,  , 0x00000008 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_OLEDBYTE3_0_reg ,  , 0x00000010 , 32 , RW , 0x0 ,  ,  , data ,  , 0 , 32 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_OLEDBYTE7_4_reg ,  , 0x00000014 , 32 , RW , 0x0 ,  ,  , data ,  , 0 , 32 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_OLEDBYTE11_8_reg ,  , 0x00000018 , 32 , RW , 0x0 ,  ,  , data ,  , 0 , 32 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_OLEDBYTE15_12_reg ,  , 0x0000001c , 32 , RW , 0x0 ,  ,  , data ,  , 0 , 32 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_TEMPERATURE_TEST_ENA_reg ,  , 0x00000028 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_TEMPERATURE_TEST_DIGIT0_reg ,  , 0x0000002c , 4 , RW , 0x0 ,  ,  , data ,  , 0 , 4 , 0x0 ,  , RW , TRUE ,  ,  ,  
 SCU_TEMPERATURE_TEST_DIGIT1_reg ,  , 0x00000030 , 4 , RW , 0x0 ,  ,  , data ,  , 0 , 4 , 0x0 ,  , RW , TRUE ,  ,  ,  
 AUI_RESET_reg ,  , 0x00001020 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 AUI_AURORA_LOOPBACK_reg ,  , 0x00001040 , 3 , RW , 0x0 ,  ,  , data ,  , 0 , 3 , 0x0 ,  , RW , TRUE ,  ,  ,  
 AUI_AURORA_RESET_reg ,  , 0x00001044 , 1 , RW , 0x1 ,  ,  , data ,  , 0 , 1 , 0x1 ,  , RW , TRUE ,  ,  ,  
 AUI_AURORA_GT_RESET_reg ,  , 0x00001048 , 1 , RW , 0x1 ,  ,  , data ,  , 0 , 1 , 0x1 ,  , RW , TRUE ,  ,  ,  
 AUI_AURORA_FIFO_TX_WRITE_ENABLE_reg ,  , 0x00001054 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
 AUI_AURORA_ACCESS_LOOP_ENA_reg ,  , 0x00001058 , 1 , RW , 0x0 ,  ,  , data ,  , 0 , 1 , 0x0 ,  , RW , TRUE ,  ,  ,  
